cell,child_canon,child_t1_floored,child_t1_raw,outcome,parent_canon,parent_t1_floored,parent_t1_raw,step
connection/4/1,e09eeadaa710e711e758cb07de17dcd6306f1d5cfa10271f999fa248c2e1ce7a,0.45833333333333337,0.45833333333333337,lost_first_batch,17f660bc480f84f191884f2bc7f81acf9938ec2e501f0cade2d9a22095b73772,0.5,0.5,88
connection/4/1,82248a48eeaa6fe6ca65d01539bdef2802db5d61e458d767612795081354bc3f,0.45833333333333337,0.45833333333333337,lost_first_batch,5e7b8899abde1216f8bf8b34bb3b5281b1b85985e52f7f4e488599fce875c012,0.5,0.5,89
territory/3/2,1ca2ae6bfdf3bfa4866d3ccd4573cd07ca0f33dc9c9e970f6e3243002c14f08b,0.08333333333333337,0.08333333333333337,lost_first_batch,866574be004e6346eab9248d64cc5a10198ef3bb913887feffe7380e1184de5e,0.29166666666666663,0.29166666666666663,90
elimination/0/0,4ad9af1a42c0617e2bc9c0e3ac4e9f93bb2fe88ea82b45583a5a773af8f21e33,0.0,0.0,t1_invalid_too_short,fd130af745a96a78b2196ab1acc51613f44703c821fd98768e074ebbc35982b0,0.5,0.5,91
connection/4/2,8ae689fa1be9ead3e5307516cb33da00b25e4401bfbe9407cd074dc0279a2773,0.0,0.0,t1_invalid_draw_majority,d8672edff2a47be5767a0c2fd104f02c75b0d09b3d358aca025d31936569e5b8,0.41666666666666663,0.41666666666666663,92
territory/4/1,d5f61bd1c7db8e14094746609f09ba81a951ca9948f56143c5ca9500a3ef64e3,0.45833333333333337,0.45833333333333337,lost_first_batch,db19267ac6aeb9ac341e6303a34133411fe54f3cf0105335d760cc5722672a4a,0.45833333333333337,0.45833333333333337,93
elimination/0/0,d88030178954400d9ddcc0f22aff60f581c8e2570506312ea77c448b736f75ce,0.0,0.0,t1_invalid_too_short,60be24e4f0069e674256d9ef5a5b8ccdc129c0c92dbf7ce46c94c1d213f5f364,0.47916666666666663,0.47916666666666663,94
territory/1/1,ed909cc3d652e94fe23141702398d7f26d339ea66c7e7a2d5251bba43a89cad9,0.0625,0.0625,t1_invalid_draw_majority,594051c7ba8a8ba16c0492aa4a782146b96e7ae637b2979ee5fd405ab37930ec,0.22916666666666663,0.22916666666666663,95
connection/3/2,c5ad6cabcfa584a71133606cfd4e269d7606aaa0f54b8c65e5056be1991029ea,0.27083333333333337,0.27083333333333337,lost_first_batch,866574be004e6346eab9248d64cc5a10198ef3bb913887feffe7380e1184de5e,0.29166666666666663,0.29166666666666663,96
territory/3/2,30d8d7e84de40d6e7dd41acc588aed28fa3b4da2ea69ff777f37354c7110e446,0.04166666666666663,0.04166666666666663,lost_first_batch,21e02e73648b3c47160f7b6a49e1bcbfc163af40f53ad6726ea14267f19320d0,0.41666666666666663,0.41666666666666663,97
territory/4/3,e4c767495a84ee16010a7e74eff43d70e357862a09efbc830b7bb48971b47edf,0.375,0.375,lost_first_batch,d78fee90fc81d699d7046fa37f4cf612ad93fb676d9abd79f074922d54eebfc9,0.375,0.375,98
connection/4/3,15c3097c5bc843ac37afd375fec7f7d12bf0adeba5b678f885864719887a1b5a,0.1875,0.1875,t1_invalid_draw_majority,5e7b8899abde1216f8bf8b34bb3b5281b1b85985e52f7f4e488599fce875c012,0.5,0.5,99
connection/4/2,8fb1f90b1c00f2545f53f549a9454f4c5529a6c77f20a6c280dac713c0ded2af,0.29166666666666663,0.29166666666666663,lost_first_batch,17f660bc480f84f191884f2bc7f81acf9938ec2e501f0cade2d9a22095b73772,0.5,0.5,100
